Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
1,8,TE,Travis Kelce (KC),TE1,TE1,17.664,14.53,21.45,15.101,17.131,5,85.655
4,38,TE,Mark Andrews (BAL),TE2,TE1,10.716,15.469,10.541,12.093,11.955,5,59.777
6,52,TE,George Kittle (SF),TE3,TE1,10.552,10.831,11.611,14.582,10.929,5,54.646
6,59,TE,Darren Waller (LV),TE4,TE1,8.473,10.659,14.649,11.551,9.791,5,48.955
7,69,TE,T.J. Hockenson (MIN),TE5,TE1,9.887,9.574,8.924,2.765,9.356,5,46.782
8,76,TE,Dallas Goedert (PHI),TE6,TE1,9.713,8.434,7.281,7.084,9.019,5,45.094
9,83,TE,Zach Ertz (ARI),TE7,TE1,9.725,7.628,4.052,12.69,8.782,5,43.909
11,103,TE,Dalton Schultz (DAL),TE8,TE1,7.45,9.656,5.969,0,7.875,5,39.373
11,105,TE,Taysom Hill (NO),TE9,TE1,7.855,0,0,0,7.855,5,39.273
12,111,TE,Pat Freiermuth (PIT),TE10,TE1,8.092,6.591,0,0,7.65,5,38.252
NA,171,TE,Dawson Knox (BUF),TE11,TE2,6.164,8.604,1.987,1.054,6.101,5,30.505
NA,179,TE,Evan Engram (JAC),TE12,TE2,6.664,3,6.306,10.793,5.918,5,29.592
NA,183,TE,Juwan Johnson (NO),TE13,TE2,5.826,0,0,0,5.826,5,29.128
NA,187,TE,Tyler Higbee (LAR),TE14,TE2,5.277,6.947,4.655,7.456,5.741,5,28.706
NA,190,TE,Kyle Pitts (ATL),TE15,TE2,4.798,7.955,0,0,5.727,5,28.633
NA,195,TE,Gerald Everett (LAC),TE16,TE2,6.917,4.498,1.944,2.837,5.611,5,28.053
NA,210,TE,Greg Dulcich (DEN),TE17,TE2,5.27,0,0,0,5.27,5,26.349
NA,221,TE,David Njoku (CLE),TE18,TE2,6.072,3.589,0,-0.965,4.992,5,24.958
NA,225,TE,Hunter Henry (NE),TE19,TE2,2.662,7.923,7.964,9.78,4.864,5,24.318
NA,231,TE,Noah Fant (SEA),TE20,TE2,3.548,6.84,6.873,3.295,4.691,5,23.456
NA,243,TE,Logan Thomas (WAS),TE21,Depth,2.542,7.446,8.172,0,4.425,5,22.125
NA,247,TE,Tyler Conklin (NYJ),TE22,Depth,4.107,4.73,0,0,4.29,5,21.452
NA,252,TE,Cole Kmet (CHI),TE23,Depth,5.233,3.22,-1.215,0,4.024,5,20.121
NA,257,TE,Mike Gesicki (MIA),TE24,Depth,2.012,6.806,7.567,4.743,3.902,5,19.512
NA,260,TE,Hayden Hurst (CIN),TE25,Depth,4.411,1.271,6.429,0,3.798,5,18.988
NA,275,TE,Robert Tonyan (GB),TE26,Depth,3.379,1.911,8.042,0,3.483,5,17.417
NA,278,TE,Irv Smith Jr. (MIN),TE27,Depth,3.501,0,4.219,0.637,3.405,5,17.027
NA,283,TE,Daniel Bellinger (NYG),TE28,Depth,3.344,0,0,0,3.344,5,16.72
NA,285,TE,Maxx Williams (ARI),TE29,Depth,0,3.96,0,0,3.247,5,16.236
NA,287,TE,Jelani Woods (IND),TE30,Depth,3.076,0,0,0,3.076,5,15.379
NA,292,TE,Foster Moreau (LV),TE31,Depth,3.317,1.731,0,0,2.851,5,14.253
NA,295,TE,C.J. Uzomah (NYJ),TE32,Depth,0,4.152,0,-0.676,2.745,5,13.723
NA,301,TE,Austin Hooper (TEN),TE33,Depth,1.222,2.23,6.145,13.192,2.565,5,12.825
NA,306,TE,James O'Shaughnessy (MIN),TE34,Depth,0,3.819,-0.968,5.639,2.337,5,11.685
NA,309,TE,Dan Arnold (JAC),TE35,Depth,0,3.062,1.914,0,2.242,5,11.209
NA,311,TE,Will Dissly (SEA),TE36,Depth,1.612,0,0,8.548,2.146,5,10.729
NA,317,TE,Isaiah Likely (BAL),TE37,Depth,2.029,0,0,0,2.029,5,10.145
NA,323,TE,Jordan Akins (HOU),TE38,Depth,3.179,-1.4,2.411,1.467,1.872,5,9.359
NA,324,TE,Cade Otton (TB),TE39,Depth,1.868,0,0,0,1.868,5,9.341
NA,327,TE,Trey McBride (ARI),TE40,Depth,1.836,0,0,0,1.836,5,9.178
NA,329,TE,Albert Okwuegbunam (DEN),TE41,Depth,1.902,1.05,2.891,0,1.782,5,8.908
NA,331,TE,Chigoziem Okonkwo (TEN),TE42,Depth,1.713,0,0,0,1.713,5,8.565
NA,340,TE,Adam Trautman (NO),TE43,Depth,0,1.799,0,0,1.475,5,7.377
NA,360,TE,Colby Parkinson (SEA),TE44,Depth,0.939,0,0,0,0.939,5,4.696
NA,364,TE,Ryan Griffin (CHI),TE45,Depth,0,0.479,0,3.416,0.794,5,3.97
NA,371,TE,Mo Alie-Cox (IND),TE46,Depth,0,0.513,1.433,0,0.636,5,3.181
NA,374,TE,Kyle Rudolph (TB),TE47,Depth,0,0.022,1.391,3.017,0.606,5,3.028
NA,375,TE,Jonnu Smith (NE),TE48,Depth,-0.21,-0.476,6.686,2.673,0.557,5,2.786
NA,382,TE,Kylen Granson (IND),TE49,Depth,0.381,0,0,0,0.381,5,1.906
NA,388,TE,Anthony Firkser (ATL),TE50,Depth,0,0.204,0.582,0,0.256,5,1.281
NA,396,TE,Tyler Kroft (SF),TE51,Depth,0,0.128,0,0,0.105,5,0.524
NA,400,TE,Durham Smythe (MIA),TE52,Depth,0,0.047,0,0,0.039,5,0.193
NA,406,TE,Cameron Brate (TB),TE53,Depth,-0.533,0.95,0,1.207,-0.024,5,-0.122
NA,407,TE,Harrison Bryant (CLE),TE54,Depth,0.037,0,-0.649,0,-0.061,5,-0.303
NA,419,TE,Geoff Swaim (TEN),TE55,Depth,0,-0.501,0,-1.179,-0.503,5,-2.516
NA,423,TE,Brevin Jordan (HOU),TE56,Depth,-2.005,2.855,0,0,-0.576,5,-2.88
NA,426,TE,Tanner Hudson (CIN),TE57,Depth,-0.73,0,0,0,-0.73,5,-3.648
NA,442,TE,Zach Gentry (PIT),TE58,Depth,0,-1.76,0,0,-1.443,5,-7.216
NA,449,TE,Pharaoh Brown (CLE),TE59,Depth,0,-2.371,0,0,-1.944,5,-9.72
